                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.69682,                0.60829,                 1.1638,                0.81282,                0.74969,                0.82046,                0.65283,                 1.2336,                 1.0159,                  1.677,              0.0097624,              0.0097624,              0.0097624
                     27,                0.69387,                 0.5993,                 1.1613,                0.80764,                0.75428,                0.82117,                0.65321,                 1.2337,                 1.0149,                 1.6741,              0.0097525,              0.0097525,              0.0097525
                     28,                0.68957,                0.60068,                 1.1568,                0.81025,                0.75296,                0.82169,                0.65393,                  1.233,                 1.0134,                 1.6732,              0.0097426,              0.0097426,              0.0097426
                     29,                0.68737,                0.59767,                 1.1575,                0.80463,                0.75806,                0.82307,                0.65485,                 1.2248,                 1.0091,                 1.6672,              0.0097327,              0.0097327,              0.0097327
                     30,                0.68233,                0.59186,                 1.1513,                 0.7982,                0.76551,                0.82522,                 0.6562,                 1.2138,                  1.003,                 1.6569,              0.0097228,              0.0097228,              0.0097228
                     31,                0.67943,                0.58405,                 1.1502,                0.80088,                0.76508,                0.82619,                0.65613,                 1.2111,                0.99971,                 1.6539,              0.0097129,              0.0097129,              0.0097129
                     32,                0.67903,                0.58365,                 1.1486,                0.79832,                0.76607,                0.82578,                0.65564,                 1.2124,                 1.0038,                 1.6561,               0.009703,               0.009703,               0.009703
                     33,                 0.6746,                0.58145,                 1.1458,                0.79675,                0.76781,                0.82574,                 0.6551,                 1.2075,                 1.0043,                 1.6535,              0.0096931,              0.0096931,              0.0096931
                     34,                0.66765,                0.56767,                 1.1393,                 0.7956,                0.76801,                0.82482,                0.65487,                 1.2088,                 1.0058,                 1.6561,              0.0096832,              0.0096832,              0.0096832
                     35,                0.66716,                0.56837,                 1.1405,                0.79413,                0.76859,                 0.8243,                0.65452,                 1.2094,                 1.0093,                 1.6594,              0.0096733,              0.0096733,              0.0096733
                     36,                 0.6638,                0.56695,                 1.1371,                0.79289,                0.76944,                0.82365,                0.65425,                  1.211,                  1.009,                  1.662,              0.0096634,              0.0096634,              0.0096634
                     37,                0.66281,                0.56841,                 1.1369,                0.79223,                0.77155,                 0.8245,                0.65485,                 1.2077,                 1.0024,                   1.66,              0.0096535,              0.0096535,              0.0096535
                     38,                0.66096,                0.56229,                 1.1347,                0.79329,                0.77006,                0.82498,                0.65489,                 1.2037,                 1.0001,                 1.6572,              0.0096436,              0.0096436,              0.0096436
                     39,                0.65603,                0.55824,                 1.1315,                 0.7939,                0.76897,                0.82484,                0.65483,                 1.2014,                 1.0018,                  1.659,              0.0096337,              0.0096337,              0.0096337
                     40,                 0.6542,                0.55482,                 1.1297,                0.78822,                0.77638,                0.82578,                0.65508,                 1.1958,                0.99736,                  1.656,              0.0096238,              0.0096238,              0.0096238
                     41,                0.65384,                 0.5612,                 1.1297,                0.78286,                0.78079,                  0.826,                 0.6543,                 1.1967,                0.99868,                 1.6576,              0.0096139,              0.0096139,              0.0096139
