                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90855,                  1.256,                 1.3732,                0.78237,                0.65379,                0.72108,                0.51526,                 1.3617,                 1.3666,                 1.8369,              0.0033326,              0.0033326,              0.0033326
                      2,                0.89934,                0.97331,                 1.3406,                0.80689,                0.67392,                0.75304,                0.55012,                 1.4831,                 1.2687,                 2.0133,              0.0066593,              0.0066593,              0.0066593
                      3,                0.97842,                 1.0346,                 1.3814,                0.82375,                0.66324,                0.75925,                0.55533,                  1.382,                 1.2582,                 1.8757,              0.0099794,              0.0099794,              0.0099794
                      4,                0.97603,                 1.0075,                  1.374,                0.81057,                0.72738,                0.80231,                0.58854,                 1.3027,                  1.083,                 1.7839,              0.0099703,              0.0099703,              0.0099703
                      5,                0.91254,                0.91468,                 1.3294,                0.84594,                 0.6887,                0.79158,                0.60414,                 1.3189,                 1.1603,                 1.7948,              0.0099703,              0.0099703,              0.0099703
                      6,                0.86787,                0.85431,                 1.2981,                0.84938,                0.71165,                 0.8137,                0.62119,                 1.2677,                 1.0667,                 1.7438,              0.0099604,              0.0099604,              0.0099604
                      7,                0.84641,                0.82238,                 1.2804,                0.83555,                0.72494,                0.81938,                 0.6308,                 1.2313,                 1.0346,                 1.7072,              0.0099505,              0.0099505,              0.0099505
                      8,                0.82319,                0.79177,                 1.2632,                0.83021,                0.73295,                0.82256,                0.64016,                 1.2424,                 1.0167,                 1.7158,              0.0099406,              0.0099406,              0.0099406
                      9,                0.80516,                0.76972,                 1.2526,                0.82015,                0.74163,                0.82354,                0.64225,                 1.2169,                 1.0232,                 1.6889,              0.0099307,              0.0099307,              0.0099307
                     10,                0.79278,                0.75231,                 1.2413,                0.83857,                0.72885,                0.82168,                0.64572,                 1.2065,                 1.0211,                 1.6822,              0.0099208,              0.0099208,              0.0099208
                     11,                0.78155,                0.73463,                 1.2345,                0.82537,                0.73972,                 0.8217,                0.64688,                 1.2019,                 1.0129,                 1.6664,              0.0099109,              0.0099109,              0.0099109
                     12,                0.77349,                0.72114,                 1.2274,                0.82761,                0.73464,                0.81944,                0.64777,                 1.2146,                 1.0296,                 1.6748,               0.009901,               0.009901,               0.009901
                     13,                0.76682,                0.70977,                 1.2214,                0.83401,                0.72996,                0.81771,                0.64754,                 1.2302,                  1.038,                 1.6868,              0.0098911,              0.0098911,              0.0098911
                     14,                0.76019,                0.69852,                 1.2159,                 0.8325,                0.73494,                0.81824,                0.64763,                 1.2287,                 1.0341,                 1.6837,              0.0098812,              0.0098812,              0.0098812
                     15,                0.75023,                0.68678,                 1.2076,                0.82095,                0.74444,                0.81979,                0.64885,                 1.2223,                  1.027,                  1.676,              0.0098713,              0.0098713,              0.0098713
                     16,                0.74479,                  0.675,                  1.202,                0.82294,                0.74547,                0.82237,                0.65029,                 1.2128,                  1.016,                 1.6652,              0.0098614,              0.0098614,              0.0098614
                     17,                0.73518,                0.66753,                 1.1963,                0.82142,                 0.7472,                0.82348,                0.65144,                 1.2083,                 1.0114,                 1.6637,              0.0098515,              0.0098515,              0.0098515
                     18,                0.73094,                0.66132,                 1.1941,                0.82938,                 0.7423,                0.82396,                0.65249,                 1.2043,                 1.0105,                 1.6603,              0.0098416,              0.0098416,              0.0098416
                     19,                0.72808,                0.65277,                 1.1908,                0.83123,                0.73977,                0.82334,                0.65243,                 1.2083,                  1.012,                  1.662,              0.0098317,              0.0098317,              0.0098317
                     20,                0.72184,                0.64084,                 1.1833,                0.82118,                0.74563,                 0.8236,                 0.6525,                  1.209,                 1.0095,                 1.6615,              0.0098218,              0.0098218,              0.0098218
                     21,                0.71474,                0.63331,                 1.1801,                0.81813,                0.74613,                 0.8222,                0.65172,                 1.2149,                 1.0131,                 1.6678,              0.0098119,              0.0098119,              0.0098119
                     22,                0.71237,                0.62904,                 1.1768,                0.81715,                0.74745,                0.82154,                0.65216,                 1.2206,                 1.0147,                 1.6702,               0.009802,               0.009802,               0.009802
                     23,                0.70994,                0.62733,                 1.1749,                0.81449,                0.74706,                0.82062,                0.65206,                 1.2303,                  1.018,                  1.677,              0.0097921,              0.0097921,              0.0097921
                     24,                0.70334,                0.61701,                 1.1688,                0.81278,                0.74848,                0.82082,                0.65246,                 1.2293,                 1.0158,                 1.6755,              0.0097822,              0.0097822,              0.0097822
                     25,                0.70003,                0.61125,                 1.1664,                 0.8071,                0.75354,                 0.8212,                0.65277,                 1.2277,                 1.0133,                 1.6735,              0.0097723,              0.0097723,              0.0097723
